id	title	text	score
3473100	TFM - 第十八届世警会今日开幕，度小满、京东金融还信用卡下月起将收费	<p>原标题：TFM - 第十八届世警会今日开幕，度小满、京东金融还信用卡下月起将收费</p><p>各位朋友，早上好，欢迎收听由封面新闻带来的早间新闻，我是熙熙妹子。今天是2019年8月8日，星期四，成都今天机动车限行尾号是4和9.接下来，我们马上进入今天的资讯内容</p><p><img class="ke_img" src="http://xqimg.imedao.com/16c6ebb1d044a933fce87221.jpg" alt="empty"/></p><p>策划：高红梅（实习生）</p><p>录音：西西</p><p>剪辑：西西</p>	0
3319508	投资者提问：你好，公司股价长期处于底部，腾讯京东两大互联网巨头入股步步高一...	<p>投资者提问：</p><p>你好，公司股价长期处于底部，腾讯京东两大互联网巨头入股步步高一年多更是亏损过半，上市公司是否有新的股价提振计划?</p><p>董秘回答(步 步 高SZ002251)：</p><p>您好！感谢您的关注，公司管理层会努力做好公司业绩。谢谢！</p><p>查看更多董秘问答>></p><p>免责声明：本信息由新浪财经从公开信息中摘录，不构成任何投资建议；新浪财经不保证数据的准确性，内容仅供参考。</p>	0
3090358	雅培恩美力启用吴敏霞为代言人	<p><img class="ke_img" src="https://pifm.eastmoney.com/EM_Finance2014PictureInterface/Index.aspx?id=abt7&imageType=k&token=28dfeb41d35cc81d84b4664d7c23c49f&at=1" alt="empty"/></p><p>雅培旗下高端奶粉品牌恩美力日前宣布启动奥运冠军吴敏霞为全新代言人，在雅培与京东联合发布的“元气成长大满贯”主题活动上，吴敏霞亮相并分享其育儿理念。京东商城消费品事业部母婴采销部总经理刘利振表示，目前雅培在京东的品牌旗舰店已拥有超过400万的消费者，恩美力销量突破了1千万罐，创出历史新高。雅培恩美力系列包括铂优恩美力和经典恩美力，其中，铂优恩美力是来自爱尔兰原罐原装的进口奶粉，目前，铂优恩美力已成为中国高端进口奶粉市场增速领先的品牌之一。雅培日前公布2018年财报显示，其全年销售额为306亿美元，同比增长7.3%，中国婴幼儿营养业务表现抢眼，雅培预计2019年销售额增长有望达到6.5%-7.5%。</p>	1
3260448	热门中概股多数收跌 京东跌2.71%	<p>证券时报e公司讯，热门中概股多数收跌，阿里巴巴跌1.6%，京东跌2.71%，百度跌1.98%；蘑菇街跌10.84%，拍拍贷跌9.5%，富途证券跌5.13%，微博跌4.05%，蔚来汽车跌2.3%；瑞幸咖啡涨3.35%，拼多多涨1.8%。</p>	1
3261081	京东618程序员购物图鉴 防脱发产品最受欢迎	<p>【亿邦动力讯】6月13日消息，近日，京东公布在618期间的程序员购物消费图鉴。</p><p>据京东大数据显示，程序员在618期间购买防脱发产品的比例是京东所有消费者的1.48倍。其中，防脱发产品成交额排行榜前5名分别来自法国、韩国、美国、中国和日本，程序员购买更多的是进口防脱发产品。</p><p>618期间，编程语言书籍也在程序员中受欢迎，C、Python、Java、C++、PHP依次排名编程语言书籍销量排行榜前五名。</p><p>不仅如此，程序员还成为618期间购买游戏产品和键盘、鼠标的主力军，游戏耳机品类成交额环比5月日均增长7倍。其中，游戏耳机、雷蛇北海巨妖成交额环比5月日均增长104%，金士顿飓风黑红成交额同比去年增长19倍。同时，IKBCcherry红轴机械键盘成为程序员购买键盘的首选，销量环比5月日均增长161%，罗技G402有线鼠标的销量环比5月日均增长100%。</p><p>此外，程序员购买衣物的比例也很大，据了解，阿迪达斯、耐克、全棉时代、李宁和海澜之家依次成为服装鞋帽品类中，品牌关键词搜索量最高的前五位。</p>	1
3093215	格力股权出让15%，400亿谁能来接盘，京东阿里都说没有去	<p><img class="ke_img" src="http://xqimg.imedao.com/16a028be1cd3c41b3fc20a8b.png" alt="empty"/></p><p>格力股权出让15%，400亿谁能来接盘，京东阿里都说没有去。董明珠个人也位于格力十大股东之中，占股0.74%，想不到在格力叱咤风云的董小姐占股并不多，虽然传闻阿里京东会接盘格力，但是都被否认了，所以就有猜测就是董小姐的管理团队接盘，但是董明珠拿的出400亿？这个不好说，传闻富士康有可能成为下一个买家，毕竟富士康也刚好在珠海大手笔投资，但是最有可能的是京海担保，本就是格力的核心经销商，已持有8.91%的股权，京海担保保证不影响董明珠的管理地位，董明珠一心为格力付出，对于实质的利益没有过于追求，但是对于对于格力的控制欲还是很强烈的，之前格力遭遇野蛮人入侵，董明珠态度强硬的站出来，不得不说格力现在的发展跟董明珠的管理智慧是分不开，无论是为了维护规则拒绝亲人的要求，还是为了事业没有再婚，董明珠为格力付出太多，值得致敬。</p>	1
3261769	情报 - Farfetch入驻京东开设旗舰店、传为IPO做准备复星时尚将出售价值近7亿股权	<p>分享到：</p><p>微信微博QQ</p><p>分享到微信打开微信，点击底部的“发现”，使用“扫一扫”即可将网页分享至朋友圈。</p><p>情报 - Farfetch入驻京东开设旗舰店、传为IPO做准备复星时尚将出售价值近7亿股权</p><p>第一财经<em>2019-06-13 15:59:10</em></p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff1338824ed03fe3b9da.jpg" alt="empty"/>于子添</p><p>24小时时尚商业资讯一览。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff1353324d043fd4a790.jpg" alt="empty"/></p><p><strong>Farfetch</strong><strong>入驻京东开设旗舰店</strong></p><p>6月12日，奢侈品电商平台Farfetch在京东推出了自己的旗舰店。通过这个旗舰店，Farfetch将在京东应用程序上拥有一级入口，让中国消费者可以即时通过Farfetch网络浏览、访问3,000多个精品品牌。此举被视为双方近两年战略合作的进一步深入。京东于2017年在Farfetch投资3.97亿美元，成为其最大股东之一。它目前持有Farfetch 16.5％的股份。Farfetch于今年早些时候收购了京东的奢侈品平台Toplife，并将其合并为现有的中国业务。有分析指出，到2020年中国购物者将占全球奢侈品消费的35％，这也是Farfetch近年来越来越注重中国市场的主要原因。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff136c02486a3fd4c358.jpg" alt="empty"/></p><p><strong>Neiman Marcus</strong><strong>第三季度净亏损扩大至3120万美元</strong></p><p>6月11日，奢侈品零售商Neiman Marcus报告了其第三季度财报数据。在截至2019年4月27日的第三季度内，Neiman Marcus的收入进一步下滑，同比下降1.5％至11亿美元。净亏损从去年同期的1,990万美元上升至3120万美元。此前公司曾强调将继续将其转型重点放在奢侈品客户平台上，包括加速数字化整合、增加体验式创新，并更加关注奢侈品转售机会。</p><p>Neiman Marcus集团首席执行官Geoffroy van Raemdonck评论道：“我们将继续推动创新，并在技术和以客户为中心的能力方面进行长期投资，既能丰富购物体验，又能使公司实现长期增长。” 该公司在3月份宣布已与债权人达成和解协议，将贷款期限延长至2023年和2024年，旨在让零售商有时间实施扭亏为盈。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff13bdc24e753fec5ef9.jpg" alt="empty"/></p><p><strong>最大股东计划出售部分股权，Adidas股价下跌1.5%</strong></p><p>6月12日，据内部交易商透露，由于阿迪达斯最大股东Groupe Bruxelles Lambert（GBL）准备出售其持有的部分股权，品牌股价下跌1.5％。GBL以257.75欧元（229.71英镑）的价格将其所持有的7.5％股份（即137万股）中的十分之一放在市场上，比周二的收盘价折让1.7％。GBL由比利时首富Albert Frere创立，于2015年首次投资阿迪达斯，购买了3％的股份。GBL还持有欧洲一些最大公司的股份，包括Pernod Ricard，LafargeHolcim和道达尔。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff13fb924bf83fbcc05c.jpg" alt="empty"/></p><p><strong>扩大在线业务，Inditex第一季度销售和利润再次上升</strong></p><p>6月12日，Zara母公司、西班牙快消巨头Inditex报告其第一季度财报。第一季度Inditex净销售额增长5％，达到创纪录的59.3亿欧元。净利润比去年同期增长10％，达到7.34亿欧元，公司净现金头寸增长9％，达到66.6亿欧元。盈利能力继续增长，毛利率扩大61个基点至59.5％。线上业务的拓展成为了Inditex集团这一季度的发展亮点。该集团刚刚在包括巴西、摩洛哥、埃及、黎巴嫩、阿拉伯联合酋长国在内的多个市场开设了Zara在线网站。同时，旗下其他品牌如Massimo Dutti，Pull＆Bear，Stradivarius，Zara Home等也在100多个新市场上建立了自己的线上平台。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff1416624e763fbecc1a.jpg" alt="empty"/></p><p><strong>为IPO做准备，传复星时尚将出售价值近7亿的股权</strong></p><p>6月11日，据彭博社报道，复星国际正寻求向投资者出售其子公司复星时尚集团的部分股权，计划筹资超过1亿美元约合7亿元人民币，所得款项将用于帮助旗下包括Lanvin等品牌提高盈利能力，目前已有亚洲企业表现出收购兴趣。另有消息人士称，复星时尚集团或将在巴黎进行IPO，但相关讨论还处于早期阶段。复星国际联合总裁陈启宇在今年3月的业绩发布会上就曾表示，集团未来的长期策略是分拆成熟产业上市，时尚产业是潜在分拆对象。</p><p>目前复星国际旗下既有面向高端消费者的奢侈品牌Lanvin、内衣品牌Wolford，也有面向年轻群体的St. John、Caruso和Tom Tailor等服饰品牌，同时还持有希腊珠宝品牌Folli Follie 16.37%的股份。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff143c324e783fd3de55.jpg" alt="empty"/></p><p><strong>奢侈品百货店Saks母公司计划私有化</strong></p><p>6月10日，奢侈品百货店Saks母公司哈德逊湾公司（Hudson's Bay Co.）执行董事长理查德•贝克（Richard Baker）计划将公司私有化。包括Baker在内的多位股东提交了一份提案，以现金支付的方式，每股9.45加元收购Hudson's Bay并使其私有化。这一部分股东拥有公司57%股份。这个全现金报价使该公司的股价比周五股票收盘价溢价48％。据Factset称，公司的股价迄今已下跌近13％。拟议的交易须经“股东大多数”批准。当日早上公司宣布，它将以15亿美元的价格出售其剩余的一半欧洲业务，并将利用这些资金支持贝克的收购。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff144ec24bfa3febacf1.jpg" alt="empty"/></p><p><strong>Fenty</strong><strong>将试水美国市场，首度进驻纽约The Webster名店</strong></p><p>6月12日，由流行天后兼时尚大咖Rihanna和LVMH集团联合推出的Fenty品牌宣布将进驻位于纽约Soho区Greene街29号的TheWebster名店，以此试水美国市场。从6月19日至30日，Fenty将进驻这间纽约高端精品店。品牌在声明中表示：“设置一个快闪店，使到纽约当地人能够感受到我们品牌”。品牌还同时于6月19日在Fenty.com网站首发上架全新系列。</p><p>传Rihanna本人持有Fenty母公司ProjectLoudFrance的49.9%股权。她是在5月份与LVMH集团合作联手推出这个品牌。当月稍后，品牌在巴黎开设了它的首间快闪店。纽约快闪店的开设是继续品牌现有的以电商为主的战略方针。品牌的计划是优先发展临时店而不是永久门店网络。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b4ff149622486b3fe9c224.jpg" alt="empty"/></p><p>责编：郭苏妍</p><p>此内容为第一财经原创，著作权归第一财经所有。未经第一财经书面授权，不得以任何方式加以使用，包括转载、摘编、复制或建立镜像。第一财经保留追究侵权者法律责任的权利。 如需获得授权请联系第一财经版权部：021-22002972或021-22002335；banquan@yicai.com。</p>	1
3319360	刘强东时隔8个月公开现身 赴藏考察经济合作（视频）	<p>视频加载中，请稍候...</p><p>自动播放</p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb11d0eb365f43fe9e291d.jpg" alt="empty"/><i>play</i>刘强东时隔8个月公开现身,赴藏考察向前向后</p><p>【刘强东时隔8个月公开现身，赴藏考察经济合作】6月27日，京东集团董事局主席刘强东率赴藏考察团与拉萨当地进行合作交流，自2018年12月刘强东章泽天出席英国皇室婚礼后，刘强东此次公开现身已时隔8个月。</p><p>来源：梨视频</p><p>免责声明：自媒体综合提供的内容均源自自媒体，版权归原作者所有，转载请联系原作者并获许可。文章观点仅代表作者本人，不代表新浪立场。若内容涉及投资建议，仅供参考勿作为投资依据。投资有风险，入市需谨慎。</p><p>责任编辑：李思阳</p>	1
2912733	苏宁收购万达百货，我对5个焦点问题的看法	<p><img class="ke_img" src="http://xqimg.imedao.com/168e5affb28a92493fec2a4a.jpg" alt="empty"/></p><p>欢迎关注“创事记”的微信订阅号：sinachuangshiji</p><p>文/丁道师</p><p>春节开工，连续两天，两大电商巨头京东、苏宁分别因为一起收购案引发关注。</p><p>京东27亿收购翠宫饭店，主要买的是这幢黄金地段的大楼，用来对内办公，这个很好理解。</p><p>苏宁不足80亿（资金为业界预估，未经苏宁证实）收购万达百货全部37个门店，是用来对外经营，可以解读的方向有很多。</p><p>我在朋友圈写了这样的评论：京东和苏宁这两收购案同时放出来，当然是巧合，但从大趋势来看，是一种必然。新旧模式有时候不在一个维度，都不用交锋，时代就会淘汰一方，同时必然有另一方崛起。茫茫大雪中，何止一个翠宫，又何止一个万达。而BAT京东苏宁滴滴美团头条携程们就真的只有几个了。 互联网必然还会继续大发展，但互联网格局大发展的可能不大了。</p><p>和过往一样，还是有不少媒体、业界朋友和我探讨此事，我总结了大家最为关注的6个问题，谈谈我的一些看法。</p><p><strong>1、苏宁易购收购万达百货，您如何看待万达的目的？</strong></p><p>首先明确一点，苏宁易购收购的是万达百货，不是万达广场，更不是某些自媒体标题党中的“苏宁买下万达”。</p><p>对于万达来说，万达百货是一块走下坡路的业务，从曾经的100多个门店下滑到如今37个门店，可见其表现糟糕之程度。这两年王健林的对外发言中，很少涉及万达百货，也从一个侧面印证了万达百货的表现。其实在新零售时代，以万达百货为代表的传统百货业态，早已经不再适应消费市场的发展，要么转型发展，要么尽快出手，要么倒闭关门。</p><p>对于万达来说，百货转型的难度很大，所以出售这块表现不佳且暂时回天无力的资产，一方面可以减轻包袱把精力放在焦点业务上来，一方面又可以回笼资金减少负债率。</p><p><strong>2、2018年，万达卖掉马德里竞技俱乐部17%的股份，卖掉澳洲黄金海岸项目及悉尼项目，将万达文化管理100%股权出售给融创。撤资流浪地球，放弃金融板块，如今又卖了百货业务，万达到底在做什么？万达“瘦身”动作背后的玄机？</strong></p><p>纵观这几年“卖卖卖”的万达，正在加速朝着轻资产的方向转移。透过万达2018年的相关数据来看，文化板块营收已经超过商业地产等曾经的主要板块，成为了万达新的增长核心。未来不难预计，万达将会进一步优化资产结构和经营结构，哪怕牺牲利润也要实现跨越转型。</p><p>当然透过各方数据来看，万达“瘦身”的这几年成绩并不太理想，在中国民营企业排行榜上，排名不断下滑，2018年跌至第17名。从股市来看，万达旗下各上市企业表现也泛善可陈，甚至已经位居万达营收第一的文化板块，旗下的万达影视市值距离高峰期也蒸发了70%以上。</p><p><strong>3、对于苏宁来说，有什么考量？为什要买万达表现不好的资产？</strong></p><p>俗话说，垃圾是放错地方的“宝贝”。这个比喻虽然不太好听，但可以回答这个问题。</p><p>同样一块资产，对于A来说是鸡肋，但交给B就可以变成宝贝。日薄西山的沃尔沃汽车，售给吉利公司运营后，触底反弹再攀高峰；资源丰厚但管理混乱的盛大文学，卖给腾讯升级为阅文集团后，一举登陆港交所，市值超过600亿。这样的案例，在中国企业界还有很多。</p><p>万达百货在卖“百货”，而苏宁易购也在卖“百货”，只不过一个上下坡路，一个走上坡路。苏宁收购万达百货，很显然想通过苏宁的方法论来改造升级这家传统百货巨头。</p><p>智慧零售是苏宁的核心战略，通过牵手万达等企业，能够将苏宁的零售理念加速落地。万达百货虽然业务上走下坡路，但其所处的位置均为城市核心地段，这对于拥有智慧零售管理运营能力的苏宁来说，有望能把其价值真正发挥出来。</p><p><strong>4、“爱面子”的万达，还会继续要求苏宁保持百货品牌独立吗？</strong></p><p>万达“卖卖卖”了很多资产，虽然业界广泛关注，但我们的消费者大多时候是没有感知的，因为招牌还是万达的招牌。比如2017年，万达将旗下的13个文旅项目和76个酒店转让给融创，涉及资金632亿元，公告特别提到：双方同意交割后文旅项目维持品牌不变，项目持有物业仍使用“万达文化旅游城”品牌。</p><p>那这次万达百货卖给苏宁后，会保持万达百货的招牌吗？</p><p>答案显然是否定的，在我看来，万达百货完成交割后，品牌将很快升级成苏宁系的品牌，具体是苏宁易购的旗舰店还是红孩子母婴店还是其他形式的店面，这个都由苏宁说了算，将按照苏宁的节奏来升级。这次交易，万达百货拿钱走人是最好的选择。</p><p>当然这笔收购对于苏宁来说，也只是其战略布局中的一环，收购本身还算不上战略级。</p><p><strong>5、互联网冲击下，百货时代真的一去不复返了吗？</strong></p><p>传统百货时代一去不复返毋庸置疑，但百货的消亡不是来自于互联网的冲击，而是自身不能适应时代发展。</p><p>这几年阿里京东苏宁等为代表的互联网零售在发展，像大悦城、凯德、银泰为代表的城市综合体也在发展，并没有此消彼长，而是同步发展。这说明互联网和实体经济不但可以共存，而且可以共赢，相辅相成。</p><p>对于来势汹汹的互联网代表，我们的传统百货也好、商超也好不要抱着狼来了避而不战的心态，也不要抱着拼死一搏的心态，而是全力的开放心态，拥抱共赢，哪怕丧失业务主动权。当然实在没有信心，就学学大润发、万达百货，尽快卖身回笼资金，转型再去做投资也是一种好的选择。</p><p>（本文作者丁道师，关于本文所述观点，欢迎留言探讨，微信：dingdaoshi）</p><p><img class="ke_img" src="http://xqimg.imedao.com/168e5affbc1a8f053feb1e58.jpg" alt="empty"/></p>	1
3137627	刘强东案视频被证实 把它放到区块链上吧 - 滴福记小开心	<p>自去年8月刘强东涉嫌风流不雅事件被拘后，事件一直被媒体广泛关注。但最后由于事情迟迟没有进展，而刘强东也安然无事，因此事件逐渐被人们所淡忘。</p><p>然而，正当人们以为这件事就这样过了的时候，又有人在微博上传出刘强东“夜入”美女房间的视频，似乎并不想让这件事就这么销声匿迹。强东又一次陷入了风口浪尖。</p><p>但这一次，强东代理律师出来证明了，“该视频内容属实。”……唔嗯!!？⊙_⊙???</p><p>咋回事？这次似乎闻到了不一样的味道！</p><p>据了解，在这个叫“明州事记”的新号上，出现了两个关于强东的视频，就是当晚强东吃饱后进入美女房间的记录。这个视频从多个角度拍摄了强东如何一步步走入美女房间，而且是美女频频相邀，主动牵挽，最后主动为东哥打开了自己的房门……</p><p><img class="ke_img" src="https://images.ihuoqiu.com/article/2019/04/24/huoqiuwang_201904241822525321.jpg" alt="empty"/></p><p><img class="ke_img" src="https://images.ihuoqiu.com/article/2019/04/24/huoqiuwang_201904241822531561.jpg" alt="empty"/></p><p>视频中，强东也时不时的“不经意的”朝镜头露出“真容”，证实是强东本人。最后刘强东的代理律师也发微博证实了这个视频“属实”。</p><p>这么说来……强东是被引诱的……？或果真如思聪老板所说的是“价格没谈拢”，结果被反耙了一把？从目前的视频上来看，至少强东没有猴急到在走道上动手动脚，或者是醉得理智不清，那么美女对强东的指控就有待商榷了。</p><p>可也有网友说，即便前面是女性主动相邀，但是据法律的有关判定，如果强东在视频看不到的地方（房间里、车上）做出了违背妇女意愿的行为，也可视为强奸。所以这个视频根本说明不了什么。</p><p>因此，如果还要继续证明强东的清白，就需要强东再说明一下看不见的地方都发生了啥，如果有相关的视频出来证实就更有说服力。</p><p>……不得不佩服这位网友的脑洞，有这样的视频为毛要给你看，人家直接就提交给法官结案了好吗？</p><p>不过话说回来，这件事情迟迟得不到结案，可能除了真的内幕重重以外，本身缺乏决定性的证据也是导致事件没有结论的原因。而关于内幕不内幕的，咱们无从得知，但有没有决定性的证据，却是可以通过技术来改善的。</p><p>假如当天的酒店录像有区块链技术作为保护，每一位顾客都有权查阅自己在酒店里的行为视频，那么当天发生的什么事不就早早清晰了吗？</p><p>美国法律是承认区块链上的资料可以作为证据使用的，因为区块链上的信息足够真实，技术保护它不受修改，因此人们可以直接相信区块链上保存的内容。</p><p>如果有区块链这门技术在，强东保存在区块链上的酒店视频就可以直接作为法律证据来使用。这样，从一开始强东也就不会陷入如此被动了吧。他不就可以规避互联网上的矛头所指了吗？</p><p>再者，这次视频的公开被认为是事件有了新的内幕。很大原因是无法证实这个微博新号的真正主人是谁。那么在区块链技术的改进下，任何发消息的人都将可以通过区块链技术追寻到源头，证实发消息的人是哪位。如此一来，消息和证据的可信性不就提高了吗？</p><p>再如果我们把事件涉及的男女双方，把他们关于这件事的言行都记录在区块链上，不就可以对双方的行为和证词做出法律和社会道德的双重威慑吗？谁敢撒谎，就注定要一辈子身败名裂，这多好啊。</p><p>不管怎么样，这一次强东事件总算有了新的进展。无论是强东真的做了不该做的事，还是始终被人诬赖，总归是要有个结果。做错了事就要接受惩罚，没做错事也需要一个清白，朗朗乾坤，终须伸张正义。</p><p>————————————————</p>	1
