id	title	text	score
3320064	工信部：贝贝、小红书、网易考拉等未经同意收集用户信息	<p><img class="ke_img" src="http://xqimg.imedao.com/16bb18b47a4b4a23feb347f5.jpg" alt="empty"/></p><p>蓝鲸TMT频道7月2日讯，日前，工信部发布了2019年第一季度电信服务有关情况的通告。通告称，有18家互联网企业存在未经用户同意收集个人信息等问题，其中包括贝贝、小红书、网易考拉等电商平台的运营主体公司。</p><p>通告显示，今年一季度，工信部组织对100家互联网企业106项互联网服务进行抽查，发现18家互联网企业存在未公示用户个人信息收集使用规则、未告知查询更正信息的渠道、未提供账号注销服务等问题，已责令相关企业整改。</p><p>同时，工信部组织对50家手机应用商店的应用软件进行技术检测，发现违规软件33款，涉及违规收集使用用户个人信息、强行捆绑推广其他应用软件等问题，已对违规软件进行下架处理，并责令企业整改。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb18b4c0669763fd85738d.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb18b4e3b68f73fc3043cf.jpg" alt="empty"/></p>	1
2870942	第四批版号出炉!95个版号腾讯获批2款网易1款	<p>今天，从广电总局官网了解到的信息显示，第四批游戏版号已经进行了公示，审核日期显示为1月13号，此次版号发放共95个，其中手游91个，客户端游戏3个，网页游戏1个。包括腾讯《榫接卯和》《折扇》、网易《战春秋》在内数款大厂游戏版号也在这批版号中。</p><p><img class="ke_img" src="http://xqimg.imedao.com/168892c958e1a8a93fe46083.png" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/168892c997e1a90a3fc17436.jpg" alt="empty"/></p>	1
3320768	继网易云音乐等应用下架各安卓应用商店后，苹果商店也已无法搜到	<p>原标题：继网易云音乐等应用下架各安卓应用商店后，苹果商店也已无法搜到 来源：AI财经社</p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb1e8bba7ba163fe9f7780.jpg" alt="empty"/></p><p>7月2日消息，据鞭牛士报道，网易云音乐、喜马拉雅、荔枝FM、企鹅FM等音频APP在苹果App store已经无法搜索到。</p><p>6月29日，网易云音乐、喜马拉雅、荔枝FM、企鹅FM等App在各大安卓应用商店相继下架。</p><p>6月28日，网信办发布信息称，首批对吱呀、Soul、语玩、一说FM等26款违法违规音频平台，分别采取了约谈、下架、关停服务等阶梯处罚，对音频行业进行全面集中整治。</p>	1
3321154	继安卓商店后，网易云音乐等4款应用遭App Store下架	<p><img class="ke_img" src="http://xqimg.imedao.com/16bb20f2a436f2f3fe2b7d4a.jpg" alt="empty"/></p><p>蓝鲸TMT频道7月2日讯，网易云音乐、荔枝FM、企鹅FM、喜马拉雅4款应用程序目前已无法从苹果应用商店App Store搜索到。6月29日，前述四款App曾遭安卓应用商店下架，原因未知。</p><p>6月28日，国家网信办会同有关部门，针对网络音频乱象启动专项整治行动。根据群众举报线索，经核查取证，首批依法依规对吱呀、Soul、语玩、一说FM等26款传播历史虚无主义、淫秽色情内容的违法违规音频平台，分别采取了约谈、下架、关停服务等阶梯处罚，对音频行业进行全面集中整治。</p>	1
3398446	探探重新上架苹果App Store，网易云音乐/Soul仍处于下架状态	<p><strong>导语：</strong>目前探探应用已经重新上架苹果App Store，不过网易云音乐、Soul等仍处于下架状态。</p><p>6月29日，社交App探探重新上架小米、OPPO等安卓应用商店，付费功能也可正常使用，但当时探探暂未上架苹果App Store。目前探探应用已经重新上架苹果App Store，不过网易云音乐、Soul等仍处于下架状态。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16c08c6456244593fc0ea2ee.jpg" alt="empty"/></p><p>6月28日，国家网信办发布《国家网信办集中开展网络音频专项整治》通知。通知显示，根据群众举报线索，经核查取证，首批依法依规对吱呀、Soul、语玩、一说FM等26款传播历史虚无主义、淫秽色情内容的违法违规音频平台，分别采取了约谈、下架、关停服务等阶梯处罚，对音频行业进行全面集中整治。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16c08c6474544af3fe5e761b.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16c08c648c6445a3fdef1d0d.jpg" alt="empty"/></p><p>（文章为作者独立观点，不代表艾瑞网立场）</p>	1
3321953	饿了么、网易考拉等18家企业被工信部点名：违规收集用户信息	<p>原标题：饿了么、网易考拉等18家企业被工信部点名：违规收集用户信息 来源：上游新闻·重庆商报</p><p>2日，工信部通报今年一季度电信服务质量情况，学而思、饿了么、网易考拉等互联网企业因用户个人信息保护检查发现问题被通报，小米科技、苏宁云商、阿里巴巴云计算、北京国美电器等企业，因用户申诉主要涉及的增值电信企业、移动转售被通报。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb28707d6c5373fe1af497.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb287090f77343fe27cd4f.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16bb28709f878203fc91d9de.jpg" alt="empty"/></p><p>18家互联网企业被通报</p><p>记者获悉，一季度，工信部组织对100家互联网企业106项互联网服务进行抽查，发现18家互联网企业存在未公示用户个人信息收集使用规则、未告知查询更正信息的渠道、未提供账号注销服务等问题，已责令相关企业整改。</p><p>同时，组织对50家手机应用商店的应用软件进行技术检测，发现违规软件33款，涉及违规收集使用用户个人信息、强行捆绑推广其他应用软件等问题，已对违规软件进行下架处理，并责令企业整改。</p><p>月均拦截骚扰电话和垃圾短信超过10亿次</p><p>工信部在通报中指出，一季度，工业和信息化部和各省（自治区、直辖市）通信管理局组织基础电信企业月均拦截骚扰电话和垃圾短信超过10亿次，约谈骚扰电话问题严重的40余家企业，向相关源头管理部门转办问题线索约2.6万条。</p><p>同时，一季度，工业和信息化部组织基础电信企业累计拦截虚假“+86”国际来电1466万次，利用短信、闪信等技术手段，累计发送疑似诈骗电话提示信息1.8亿次。</p><p>电话用户17.89亿户</p><p>记者获悉，一季度，全国电话用户总数达到17.89亿户，其中移动电话用户15.97亿户。工业和信息化部及各省（自治区、直辖市）电信用户申诉受理机构受理电信用户申诉18057件，环比上升2.9%，同比上升5.9%（详见附件3、4）。收费争议类申诉占比34.7%，环比下降4.5%；用户服务类申诉占比42.9%，环比上升3.9%；网络质量类申诉占比22.3%，环比上升0.6%。</p><p>上游新闻·重庆商报记者 郑三波 实习生 刘凌汐</p>	1
2871471	微信发布诱导违规APP处理公告：网易云音乐等被点名	<p>【TechWeb】1月27日，微信派公众号昨日晚间发布“关于近期诱导违规及恶意对抗的处理公告”，包括今日头条、 火山视频、网易云音乐等在内的多款App受到了不同梯度的处罚。</p><p>公告称，一些网络平台通过现金奖励、虚拟奖品、测试等方式，诱导用户分享、传播外链内容给好友，严重影响朋友圈、群聊等功能的用户体验。部分网络平台在违规活动被处理后，甚至通过变换域名、口令等方式进行恶意对抗、多次违规。</p><p>并公布了部分违规案例，如“网易云音乐”以测试形式传播H5，吸引用户参与互动，并使用更换链接方式进行对抗。</p><p>微信方面表示，以上情况，一经发现将立即进行处理，包括但不限于停止链接内容在朋友圈继续传播、停止对相关域名或IP地址进行访问，封禁相关开放平台帐号或应用的分享接口。</p><p>对重复多次违规及对抗行为的违规主体，将采取阶梯式处理机制，包括但不限于下调每日分享限额、限制使用微信登录功能接口、永久封禁帐号、域名、IP地址或分享接口。</p><p><strong>以下为公告原文：</strong></p><p>临近春节是各种诱导违规的多发时间。</p><p>近期，一些网络平台通过现金奖励、虚拟奖品、测试等方式，诱导用户分享、传播外链内容给好友，严重影响朋友圈、群聊等功能的用户体验。部分网络平台在违规活动被处理后，甚至通过变换域名、口令等方式进行恶意对抗、多次违规。</p><p>根据相关规则，微信明确禁止外部链接的测试、诱导行为。对重复多次违规，恶意对抗的主体，微信将采取阶梯式处理机制，进行更严格的处理。</p><p>部分违规案例公示如下：</p><p>1。测试、诱导分享违规</p><p>示例1：</p><p><img class="ke_img" src="http://xqimg.imedao.com/1688cfe0438223343fe7c222.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/1688cfe05ee223353fb0f762.jpg" alt="empty"/></p><p>违规APP：“滴滴出行“、“京东”等；</p><p>违规形式：以测试、红包奖励等方式，诱导用户通过微信分享给好友。</p><p>2。存在绕过对抗行为、多种方式反复对抗及违规</p><p>示例2：</p><p><img class="ke_img" src="http://xqimg.imedao.com/1688cfe07c8222223fee0e59.jpg" alt="empty"/></p><p>违规APP：“网易云音乐”等；</p><p>违规形式：以测试形式传播H5，吸引用户参与互动，并使用更换链接方式进行对抗。</p><p>示例3：</p><p><img class="ke_img" src="http://xqimg.imedao.com/1688cfe0915223363fda3af4.jpg" alt="empty"/></p><p>违规APP：“今日头条”、“今日头条极速版”、“火山视频”、”西瓜视频”等；</p><p>违规形式： 以红包形式进行诱导分享拉新，使用文字链接、图片二维码方式绕过规则，截至本公告发布前变换域名多达 72 次。封禁相关域名后，再次使用文本口令进行对抗。</p><p><img class="ke_img" src="http://xqimg.imedao.com/1688cfe0a56222233fe6d5ea.jpg" alt="empty"/></p><p>处理措施：</p><p>以上情况，一经发现将立即进行处理，包括但不限于停止链接内容在朋友圈继续传播、停止对相关域名或IP地址进行访问，封禁相关开放平台帐号或应用的分享接口。</p><p>对重复多次违规及对抗行为的违规主体，将采取阶梯式处理机制，包括但不限于下调每日分享限额、限制使用微信登录功能接口、永久封禁帐号、域名、IP地址或分享接口。</p><p>具体规则参考：微信外部链接内容管理规范、微信公众平台运营规范、微信开放平台开发者服务协议</p><p>相关违规打击公告参考：微信关于打击违规春节线上活动的公告</p>	1
2808307	科技大佬的副业：马云开酒吧不为赚钱 丁磊认真养猪 董明珠失意	<p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b8f5640a33fc24c7c1.jpg" alt="empty"/></p><p>近日，马云靠着出清淘宝股权的消息又登上了科技圈头条，对此阿里巴巴回应称，马云从未转让和退出淘宝的股份，也没有这个打算，这是任何公司管理过程中非常正常且普通的技术和法律层面操作。正当外界把目光都聚焦在这件事上时，殊不知马云潇洒的忙着自己的副业。</p><p>1月7日凌晨，马云在杭州创办的音乐酒吧“HHB平头哥”正式开业，酷爱唱歌的马云还在开业典礼上唱了一首《广岛之恋》。对于自己开的酒吧，马云强调这个副业根本不是为了赚钱，就是想搞一个给大家能够提供好酒、好音乐、好朋友的地。其实除了马云，还有不少科技大佬也拥有自己的副业，有的做的相当不错，有的则比较失意，现在我们就来汇总下。</p><p><strong>丁磊：亲自上阵绿色养猪</strong></p><p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b906b3f1a3fee7931f.jpg" alt="empty"/></p><p>一提到丁磊的副业，恐怕很多网友都清楚，那就是养猪嘛。丁磊在养猪这件事上非常投入，按照他的话来说，希望能探索出“第三代养猪模式”。从2009年宣布养猪消息，到2011年网易猪场成立，再到2017年猪肉铺开张，丁磊花了近10年的时间去实践一个“养猪梦”。</p><p>在养猪的方式上，丁磊不走寻常路，他的“丁家猪”睡公寓、不吃药，听音乐，纯天然饲养，整个养猪场非常环保，同时在养猪时间上也是有规定，至少要养够300天以上。由于对自家的猪非常有信心，接连几届的互联网大会的饭局上，丁磊都是用自家猪作为肉源，很多互联网大佬表示确实好吃。</p><p><strong>董明珠：投资银隆要造新能源车</strong></p><p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b919d3e7c3fe0c4486.jpg" alt="empty"/></p><p>想要让格力电器业绩保持持续的增长，就需要董明珠带领公司去开拓新的领域，虽然他们曾瞄上手机行业，但由于进入时机和操盘的问题，只能遗憾错过这个风口。不过很快董明珠又把目光放在了新能源汽车上，但格力电器董事会并没有通过她的提议，一气之下她选择自己造车。</p><p>2016年3月董明珠个人联合万达、京东、中集等30亿元投资珠海银隆，开启了自己的副业模式。2017年2月14日，董明珠宣布与珠海银隆合作，在全国先后布局十几个造车基地，不过这场合作最终没了下文。前段时间董明珠已经公开表示，银隆就是个无底洞，虽然投资失败，但自己不后悔进入新能源汽车领域。</p><p><strong>马云：开酒吧、经营中国武侠文化</strong></p><p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b92fd40ce3fe886da1.jpg" alt="empty"/></p><p>国内科技大佬中，爱好最广泛的马云绝对算是一个，出身曲艺世家的他对文艺特别的喜欢。1月7日凌晨，马云开了一间酒吧，汪涵、蔡康永、马东、高晓松、大S等一众明星出席捧场，而他本人在现场为所有人唱了一首《广岛之恋》。对于自己的新副业，马云表示，他就想搞一个给大家能够提供好酒、好音乐、好朋友的地方，不以挣钱为目的，这是出发点。</p><p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b945e3f1c3fd32eef0.jpg" alt="empty"/></p><p>其实除了开酒吧这件事，马云对经营中国武侠文化事业也是很有一套。2017年的一部跨界电影《功守道》一度刷屏，马云邀请来李连杰、吴京、甄子丹、邹市明等众多大腕演出，表面上看《功守道》是一部微电影，其实更深层次是马云和李连杰创办的体育赛事，旨在弘扬中国武术文化，让更多人参与进来。</p><p><strong>贝索斯：实现人类太空旅行</strong></p><p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b95a23e7d3fc4ae49d.jpg" alt="empty"/></p><p>身为全球首富，贝索斯在亚马逊之外的众多副业上，干的同样风生水起，而副业中最知名的当属“蓝色起源”(Blue Origin)。按照贝索斯的理想，希望Blue Origin能够帮助人们实现太空旅行，其初步的设想是，利用可重复使用的火箭推进器和太空舱，将乘客运载至距离地球地面100多英里的高空（62公里），在那里，乘客可以在感受失重的同时，体会到宇宙的浩瀚，地球的渺小。</p><p>2016年Blue Origin使用其New Shepard火箭成功完成了第四次发射与着陆（Blue Origin旗下的胶囊型太空飞船，可供载客6人），而他们预计最快会在2019年为付费乘客提供一次11分钟的亚轨道太空飞行。</p><p><strong>马斯克：要做现实版钢铁侠</strong></p><p><img class="ke_img" src="http://xqimg.imedao.com/1682e1b96f740cf3fdf85a9c.jpg" alt="empty"/></p><p>虽说马斯克是特斯拉的创始人，但他并没有把自己的精力完全放在电动汽车上，比如SpaceX、Boring Company（挖隧道）可都是马斯克响当当副业。虽说跟贝索斯一样都专注于太空探索，但马斯克的想法更酷，想要让人类移民到火星上，而目前他正在朝这个方向努力。</p><p>除了上述副业外，马斯克还成立了新公司Neuralink，其正在追求一种叫做“神经织网”（neural lace）的技术，在人脑内植入微小的脑电极，可以在一天内上传或下载想法。按照马斯克的想法，这个技术本质上是大脑内部的一种人工智能层，可以帮助人类达到更高的功能水平，总之就是想要让人类变的更智能。</p>	1
3476206	又一批游戏版号被下发 腾讯（00700）、网易（NTES.US）等公司产品在列	<p>智通财经APP获悉，今天（8月8日），原国家新闻出版广电总局官方显示，第五批国产游戏版号已下发，共有26款游戏获批，审批时间为8月8日。其中，腾讯（00700）《足球在线4》《狐妖小红娘》、网易（NTES.US）《倩女幽魂隐世录》《实况足球》、西山居（金山软件，03888）《最终幻想：勇气启示录》、B站（BILI.US）《梦之祭！》,创梦天地（01119）《地下城王者》等公司的游戏获批。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16c70a81b3d5b603fd4f17ec.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16c70a81e085b9e3fbd3f9a5.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16c70a8201d5b653fe057c52.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16c70a821d85bae3fca4ce6b.jpg" alt="empty"/></p><p><img class="ke_img" src="http://xqimg.imedao.com/16c70a8236d5aa13fe3cfca9.jpg" alt="empty"/></p>	1
3476259	第五批进口游戏版号下发 腾讯、网易、B站在列	<p>新浪科技讯 8月8日下午消息，原国家新闻出版广电总局官方显示，第五批国产游戏版号已下发，共有26款游戏获批，审批时间为8月8日。其中，腾讯《足球在线4》《狐妖小红娘》、网易《倩女幽魂隐世录》《实况足球》、西山居《最终幻想：勇气启示录》、B站《梦之祭！》等游戏获批。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16c70b087565bf73fd802ccb.png" alt="empty"/></p>	1
