id	title	text	score
2809102	石景山：苹果园将建西部大悦城	<p><img class="ke_img" src="http://xqimg.imedao.com/168300c585973da3fbaa1c21.jpg" alt="empty"/></p><p><strong>北京银行保险产业园位于西山八大处山脚下，将“打造具有全球影响力的国家级金融创新示范区” 供图/石景山区政府</strong></p><p>昨天，石景山区第十六届人民代表大会第五次会议开幕，北京青年报记者从石景山区“两会”媒体见面会上获悉，《石景山分区规划（2017年—2035年）》草案已发布，与以往的城市规划相比，此次分区规划突出了“减量发展”。</p><p>“此次分区规划，改变了以往聚集资源扩张谋发展的思维定式，努力‘瘦身健体’，提高发展质量，提升发展水平。”据石景山区委副书记、代区长陈之常介绍，在减量发展上，石景山有严格的底线约束。</p><p>据了解，石景山区现有城乡建设用地约54平方公里，2019年石景山区将持续开展城乡建设用地减量工作，到2020年，石景山区承诺将城乡建设用地减少至53平方公里，净减量约1平方公里；从2021年到2035年，确保城乡建设用地“增一减一”，规划新增城乡建设用地与规划腾退动态平衡，城乡建设用地维持在53平方公里不增加。</p><p>此外，石景山区的分区规划确定了石景山区国家级产业转型发展示范区、绿色低碳的首都西部综合服务区、山水文化融合的生态宜居示范区的功能定位，提出了建设自然生态的海绵城市，建设资源节约型城市，建设创新引领、生态宜居、区域协同、多元文化交融、山水城市相融、产城发展共融，具有国际魅力的首都城市西大门及未来几十年石景山区的发展目标。</p><p>“‘山水融合谋发展，建设首都城市西大门’，我觉得这句话很形象，把石景山的资源禀赋、生态格局说清楚了。”陈之常告诉北青报记者，石景山有首钢遗留的工业遗产，这样的城市景观在北京是独一无二的，石景山要抓住冬奥机遇，将新首钢地区打造成新时代首都城市复兴新地标。</p><p>接下来，石景山将形成“一轴一带、多点支撑、组团协同”的城市空间结构。</p><p>“一轴”就是长安街及其延长线，“一带”就是西山永定河文化带，在发展的过程中，既要充分发挥长安街及其延长线的串联作用，带动沿线产业功能区协同发展，又要融合山水文化，以西山、永定河为依托，促进生态、文化、旅游的深度融合。</p><p>“组团协同”就是指石景山东西中部这三个地区组团，突出各地区职能定位，实现组团协同发展。</p><p>未来石景山将投入“园区”的多点建设，形成联动。如苹果园地区将来会有西部的大悦城，结合苹果园交通枢纽上端物业的开发，最终将连通首钢北区，形成京西新地标。</p><p><strong>2021年争创国家森林城市</strong></p><p>作为全市第一个启动创建国家森林城市的中心城区，石景山区计划实施森林生态体系建设、绿地资源管理、生态文化建设三大板块10项重点任务，力争在2021年实现成功创建“国家森林城市”。届时，石景山区市域林木覆盖率将达到30%以上，城区绿化覆盖率达53%以上，人均公园绿地面积达到23平方米以上，公园绿地500米服务半径城区覆盖率达100%，城乡居民每万人拥有的绿道长度达0.5公里以上，实现宜居森林之城格局。</p><p>据了解，石景山区创建国家森林城市工作将以“让森林走进城市，让城市拥抱森林，促进人与自然和谐发展”为目标，对标对表37项国家森林城市建设指标，围绕“市域森林覆盖率”“城区人均公园绿地面积”等重点内容，依托“山、河、轴、链、园”生态体系，实施森林生态体系建设、绿地资源管理、生态文化建设三大板块10项重点任务，推进森林湿地、城市公园、小微绿地、精品道路、森林社区等重点绿化工程建设，确保创建工作全面如期达标。</p><p>石景山区园林绿化局局长毛轩告诉北青报记者，2019年，西山森林景观建设、永定河流域滨水森林景观建设、长安绿轴森林景观建设等10项重点任务将全面展开。石景山区将通过新建和改造一批公园，在长安街西沿线打造包括13个公园的西长安城市森林公园群。同时，石景山聚焦永定河流域森林建设，计划对永引渠水体、滨水绿化廊道、滨水空间和绿道系统一体规划建设，建成后的永引渠南北两侧延渠将形成宽150米的滨水森林带，城市慢行系统蜿蜒其中，市民既可河渠流水，也可穿行林中，更可以在城市慢行道路上健身运动。</p><p><strong>北京银行保险产业园：打造京西金融新地标</strong></p><p>“北京银行保险产业园是疏解非首都功能、构建高精尖经济结构的重要载体，是当之无愧的首都经济的‘白菜心’。”北京银行保险产业园（简称银保园）的负责人告诉北青报记者，银保园位于石景山西山八大处脚下，是集山水人文于一体的、首都西部新崛起的高端金融功能区。经过3年多的耕耘，银保园于2018年9月正式开园。</p><p>据了解，银保园自起步之初，就严格按照市委市政府要求，高起点、高标准、高水平推动开发建设，在全球范围内征集规划设计方案，锁定国际一流典范目标。在地理位置上，园区与八大处公园南北呼应，整个园区体现了蓝绿主题，被评为北京市中关村绿色园区称号。同时，园区坚持品质与品位，充分体现了“小而美”的理念。</p><p>目前，已经引进以中国保信、爱心人寿、合众财险、光大永明资产管理公司等为代表的20家金融保险机构，覆盖人身险、财产险等主要产业链要素。2019年，银保园将聚焦金融市场创新发展和金融机构改革中设立的新机构、新业态，主动适应新一轮科技革命和产业变革的新趋势，加大力气建设金融基础设施，完善金融发展生态链条，建设“京西金融新地标”，打造“具有全球影响力的国家级金融创新示范区”。</p><p><strong>长安街西延贯通：改善首钢园区出行条件</strong></p><p>长安街西延道路工程西起三石路，上跨西六环、永定河和丰沙铁路，穿越首钢改造主厂区，终点至石景山区古城大街，全长约6.5公里。据介绍，今年长安街西延工程将于“十一”前夕实现全线通车，届时“百里长街”将形成。</p><p>北青报记者从石景山区政府了解到，长安街西延石景山段目前已建成，长安大桥桥梁下部结构已全部完成，目前正在进行上部钢结构安装工作，年内将实现长安街西延全线通车。作为石景山区连接门头沟区的又一条城市主干路，长安街西延及大桥项目建设完成后，将极大地增强石景山区与门头沟区交通通行能力，进一步改善首钢园区、冬奥场馆和周边居民出行条件，促进区域经济发展。</p><p>同时，今年石景山区将继续推进长安街整治提升专项工作，对沿街进行空间优化与功能重组，实现2019年“提优、共享”工作目标，彰显长安街“庄严、沉稳、厚重、大气”的特色。在前期整治提升工作的基础上，计划于2019年以3个大项、10个小项工作，高标准推进长安街石景山段整治提升。</p><p>(责编：许维娜、孙红丽)</p>	1
3234539	*ST康得资金去向之谜难解 宣布暂停部分业务	<p>*ST康得(002450)资金之谜一度“拨云见日”，但随后陷入更深的迷谷之中。除了与北京银行西单支行沟通不畅，*ST康得在自查过程中，也频遭自家员工的不配合。</p><p>5月30日晚间，*ST康得就2018年第四季度大额销售退回事项回复深交所问询函时称，该公司相关人员离职或失联，不能排除存在个别工作人员违反内控制度进行违规操作的可能性。</p><p>而对于上市公司为康得集团担保14.73亿元一事，*ST康得则称，主要系相关工作人员违规使用公司印章，完成了相关存单的质押担保。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b09455312d193feac3f580.jpg" alt="empty"/></p><p>2018年年报披露，*ST康得2018年第四季度实现营业收入-16.84亿元；该公司对2018年度经营活动进行自查的过程中，对其账面原已确认的部分营业收入进行了销售退回账务处理，年审会计师无法对上述大额销售退回的真实性和准确性发表意见。</p><p>深交所要求*ST康得逐笔说明，对已确认的营业收入进行销售退回涉及的具体交易事项，并说明上述交易是否具备商业实质。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16b0945553ad1a3fee9f4a3d.jpg" alt="empty"/>对此，*ST康得回复，该上市公司2018年第四季度营收-16.84亿元的主要原因，系公司在第四季度对2018年以前季度已确认的部分收入进行了调减。由于*ST康得和客户之间出现的合作分歧、内部控制缺陷，存在退货手续的审批不完整，涉及客户的后续解决方案不完整，退货产品的处理方案不完整。</p><p>*ST康得强调称，2018年年报发布后，上市公司对相关退货交易持续自查，但由于相关人员离职或失联，业务资料交接缺失，客户配合意愿较差，出于谨慎考虑，*ST康得尚不能排除存在个别工作人员违反内控制度进行违规操作的可能性。</p><p>而就上市公司与北京银行西单支行之间的资金之谜，*ST康得在回复问询函时表示，实际控制人钟玉同时担任了控股股东及上市公司的法定代表人，实际控制了上市公司及控股子公司的公司印鉴。</p><p>经*ST康得自查，该公司及控股子公司加入控股股东与北京银行签订《现金管理业务合作协议》的行为，未经上市公司董事会和股东大会的批准。目前，*ST康得已经向证监会和银保监会进行投诉，并正在积极准备采取法律手段以保护上市公司的合法权益。</p><p>5月20日，*ST康得收到应诉材料，因控股股东康得投资集团有限公司信托贷款出现违约，康得新光电作为担保方承担连带担保责任。上述诉讼事项涉及金额14.73亿元，占公司最近一期经审计净资产的比例为8.12%。</p><p>深交所就此下发关注函，要求*ST康得认真核查并做出书面说明。在5月30日晚间，*ST康得回复称，涉及的两笔担保的担保期为2018年9月27日-2019年7月31日。</p><p>*ST康得强调，上市公司现任管理层对该两笔担保并不知情。经*ST康得自查，目前对该担保事项的初步结论为：相关工作人员违规使用公司印章，完成了相关存单的质押担保。*ST康得已向被担保方及起诉方中航信托股份有限公司发出了商务函，说明了该担保的无效性并要求起诉方撤销对公司的诉讼请求；同时，该公司也将保留通过法律途径追究相关公司员工法律责任的权利。</p><p>证券时报·e公司记者注意到，此前一直强调生产经营正常的*ST康得，在5月30日晚间发布了暂停部分业务的公告。</p><p>公告显示，因资金流动性不足，为确保核心业务不受影响，基于业务和产品结构调整的需要，*ST康得决定5月31日起暂停部分面向长期布局的业务和部分盈利状况不佳的业务，对于在此次业务调整中涉及的员工，上市公司本着合法合规的原则作出放假安排。</p><p>*ST康得表示，此次调整未影响公司的核心业务，在相关员工放假期间，上市公司将调整产品和业务结构，尽最大努力减轻对公司、债权人和投资者造成的损失。</p>	1
3234756	流动资金告急 *ST康得暂停部分业务	<p>*ST康得(002450,诊股)资金之谜一度“拨云见日”，但随后陷入更深的迷谷之中。除了与北京银行(601169,诊股)西单支行沟通不畅，公司在自查过程中也频遭自家员工的不配合。昨日，*ST康得就2018年第四季度大额销售退回事项回复深交所问询函时称，公司相关人员离职或失联，“不能排除存在个别工作人员违反内控制度进行违规操作的可能性”。</p><p>公司还发布公告称，因资金流动性不足，为确保核心业务不受影响，基于业务和产品结构调整的需要，决定5月31日起暂停部分面向长期布局的业务和部分盈利状况不佳的业务。</p><p><strong>工作人员违规？</strong></p><p>而对于上市公司为康得集团担保14.73亿元一事，*ST康得称系相关工作人员违规使用公司印章，完成了相关存单的质押担保。</p><p>*ST康得2018年年报披露，公司第四季度实现营业收入-16.84亿元；公司对2018年度经营活动进行自查的过程中，对公司账面原已确认的部分营业收入进行了销售退回账务处理。年审会计师无法对上述大额销售退回的真实性和准确性发表意见。</p><p>深交所要求*ST康得逐笔说明，对已确认的营业收入进行销售退回涉及的具体交易事项，并说明上述交易是否具备商业实质。对此*ST康得回复，公司2018年第四季度实现营业收入-16.84亿元的主要原因，系公司在第四季度对2018年以前季度已确认的部分收入进行了调减。由于公司和客户之间出现的合作分歧、内部控制缺陷，存在退货手续的审批不完整，涉及客户的后续解决方案不完整，退货产品的处理方案不完整。</p><p>*ST康得强调称，公司年报发布后，公司对相关退货交易持续自查，但由于相关人员离职或失联，业务资料交接缺失，客户配合意愿较差，“出于谨慎考虑，公司尚不能排除存在个别工作人员违反内控制度进行违规操作的可能性”。</p><p><strong>对担保不知情</strong></p><p>而就公司与北京银行西单支行之间的资金之谜，*ST康得在回复问询函时表示，实际控制人（钟玉）同时担任了控股股东及上市公司的法定代表人，实际控制了上市公司及控股子公司的公司印鉴。经公司自查，公司及控股子公司加入控股股东与北京银行签订《现金管理业务合作协议》的行为，未经公司董事会和股东大会的批准。公司已经向证监会和银保监会进行投诉，同时公司正在积极准备采取法律手段以保护公司的合法权益。</p><p>5月20日，*ST康得收到应诉材料，因控股股东康得投资集团有限公司信托贷款出现违约，康得新光电作为担保方承担连带担保责任。上述诉讼事项涉及金额14.73亿元，占公司最近一期经审计净资产的比例为8.12%。深交所就此下发关注函，要求公司认真核查并做出书面说明。*ST康得在5月30日晚间回复称，涉及的两笔担保的担保期为2018年9月27日-2019年7月31日。</p><p>*ST康得强调称，公司现任管理层对该两笔担保并不知情。经公司自查，目前对该担保事项的初步结论为：相关工作人员违规使用公司印章，完成了相关存单的质押担保。公司已向被担保方及起诉方中航信托股份有限公司发出了商务函，说明了该担保的无效性并要求起诉方撤销对公司的诉讼请求；同时公司也将保留通过法律途径追究相关公司员工法律责任的权利。</p><p>经公司自查，上述两笔对外担保并未履行相应的审议程序，鉴于该案相关工作人员当时故意违反公司内控制度，该两笔担保作出时也并未履行相应的信息披露义务。</p><p>证券时报·e公司记者注意到，此前一直强调生产经营正常的*ST康得，在5月30日晚间发布了暂停部分业务的公告。公告显示，因资金流动性不足，为确保核心业务不受影响，基于业务和产品结构调整的需要，公司决定5月31日起暂停部分面向长期布局的业务和部分盈利状况不佳的业务，对于在本次业务调整中涉及的员工，公司本着合法合规的原则作出放假安排。*ST康得强调，本次调整未影响公司的核心业务，公司核心业务生产持续经营，“在相关员工放假期间，公司将调整产品和业务结构，按照预案开展工作，尽最大努力减轻对公司、债权人和投资者造成的损失”。</p>	1
3142222	龙腾影视短期借款2.6亿，账面货币资金197万	<p>挖贝网 4月25日消息，近日新三板创新层企业龙腾影视（835003）发布去年年报，公司短期借款期末余额为2.6亿，账面货币资金197万。</p><p>2018年龙腾影视分别向与华夏银行(600015,诊股)北京分行、北京银行(601169,诊股)西单借款，其中2018年3月23日，龙腾影视以委托的方式华夏银行北京分行贷款1400万元，贷款利率为10.5%；截止去年，已归还借款500万，截止2018年年报发布之前还有900万未还。同年12月3日龙腾影视向华夏银行北京分行借款4000万元，借款期限从2018年12月5日到2019年12月5日，利息为6.09%。</p><p>2018年9月6日，龙腾影视向北京银行西单支行以委托的形式贷款贷款2.5亿元贷款期限为1年；委托贷款利率为10.5%，截止去年年底，龙腾影视收到借款2亿元。</p><p>从上面数据来看龙腾影视总共在2018年短期借款2.6亿。</p><p>2018年龙腾影视营收1.74亿元，净利润3451万元，较去年同期下降10%，货币现金为197万。</p><p>挖贝网资料显示：龙腾影视主要经营业务为影视产品的策划、投资、制作、发行和运营，主营产品为电视剧作品、电影作品。</p>	1
3239085	开元股份股东罗建文质押2345万股 公司去年净利同比下滑38%	<p>挖贝网 6月2日消息，长沙开元仪器股份有限公司（证券代码：300338）股东罗建文向北京银行(601169,诊股)股份有限公司长沙分行质押股份2344.67万股。</p><p>本次质押股份2344.67万股，占其所持公司股份的43.43%。质押期限为2019年5月30日至解除质押登记手续之日。</p><p>截止本公告日，罗建文先生持有公司股份53,992,722股，占公司总股本的15.64%。</p><p>本次补充质押股份23,446,659股，占其持有公司股份总数的43.43%，占公司总股份的6.79%；</p><p>累计质押股份36,936,659股，占其持有公司股份总数的68.41%，占公司总本公司及董事会全体成员保证公告内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。股份的10.70%。</p><p>公司2018年年度报告显示，2018年公司归属于上市公司股东的净利润为9859.88万元，比上年同期下滑38.41%。</p><p>据挖贝网资料显示，开元股份(300338,诊股)主要业务为职业教育与仪器仪表双主业并行。</p><p>来源链接：http://www.cninfo.com.cn/new/disclosure/detail？plate=&orgId=9900022196&stockCode=300338&announcementId=1206321004&announcementTime=2019-05-31%2011:42</p>	1
3242625	因贷款逾期未还，ST冠福被要求判决十日内赔偿	<p>6月3日，资本邦讯，<strong>ST冠福</strong>(002102.SZ)发布关于收到(2018)粤0304民初37887号案件《民事判决书》的公告。</p><p>公告显示，2017年5月18日，被告冠福实业与信用融资担保公司及案外人北京银行股份有限公司深圳分行(以下简称“北京银行深圳分行”)签订《委托贷款委托合同》及《委托贷款合同》，约定原告委托北京银行深圳分行向被告冠福实业发放委托贷款5000万元。被告林文昌、林文洪、林文智为被告冠福实业上述债务向原告提供连带责任保证。公司控股股东隐瞒公司董事会，擅自以公司名义向弈辛实业开具4张电子商业承兑汇票，合计金额4000万元。之后，弈辛实业将其持有的前述4张电子商业承兑汇票向原告进行质押背书，为上述借款提供质押担保。2017年5月24日，原告通过北京银行深圳分行向被告冠福实业发放贷款5000万元。贷款到期后，被告冠福实业未按约偿还全部贷款本息，且其他担保人林文昌、林文洪、林文智、弈辛实业亦未能按合同约定履行还款义务。</p><p>原告信用融资担保公司向福田区法院提起诉讼，福田区法院依法对该案件立案受理。2019年1月28日，福田区法院对该案件公开开庭审理，并于2019年5月13日对本次诉讼案件作出一审判决。</p><p>判决如下：</p><p>1、被告冠福实业应于本判决生效之日起十日内向原告信用融资担保公司偿还借款本金2600万元及违约金263万元、逾期利息，但违约金及逾期违约金合并计算的数额不得超过以2600万元为基数自2018年8月6日起按年利率24%计算的数额;</p><p>2、被告林文昌、林文洪、林文智对判决第一项确定的债务承担连带清偿责任，并在承担清偿责任后，有权向被告冠福实业追偿;</p><p>3、如被告冠福实业未能按判决第一项内容履行还款义务，原告信用融资担保公司 有权要求被告冠福股份 、被告弈辛实业连带向其支付商业承兑汇票项下款4000万元及延期付款利息，但原告信用融资担保公司优先受偿的数额应以判决第一项确定的数额为限;</p><p>4、驳回原告信用融资<strong>担保公司</strong>的其他诉讼请求。</p><p>据悉，ST冠福于2002年9月28日在福建省工商行政管理局登记成立。法定代表人林文智，公司经营范围包括对医疗业，制造业，采矿业，能源业，建筑业等。</p><p><strong>头图来源</strong>：123RF</p><p><strong>转载声明</strong>：本文为资本邦原创文章，转载请注明出处及作者，否则为侵权。</p><p><strong>风险提示</strong><strong>：</strong> 资本邦呈现的所有信息仅作为投资参考，不构成投资建议，一切投资操作信息不能作为投资依据。投资有风险，入市需谨慎!</p>	1
2917350	监管数据：2018年北京保监局处罚30家保险机构、罚款372万	<p>1月24日，在“第204场银行业保险业例行新闻发布会”上，北京银保监局党委委员蒋平介绍，截至2018年末，北京银行（601169）业资产总额24.17万亿元，同比增长8.86%;北京保险业资产总规模8543.4亿元，居全国第二，同比增长9.96%。</p><p>银行业保险业稳健增长的同时，蒋平表示，2018年，北京银保监局持续严监管、强监管，2018年全年专项整治中，处罚银行机构25家，保险机构30家。</p><p>具体来看，截至2018年末，北京银行业资产总额24.17万亿元，同比增长8.86%;负债总额23.02万亿元，同比增长8.77%;资产负债增速同比分别上升6.06和6.58个百分点。规模均居全国第一。北京保险业资产总规模8543.4亿元，居全国第二，同比增长9.96%;行业累积承担风险保障1097.6万亿元，同比增长32.8%。</p><p>“2018年，北京因保监局累积对包括银行、信托和其他非银机构在内的57家银行业机构开展现场检查50项，对包括保险公司、保险中介机构和业外机构在内的71家机构开展现场检查39项”，据介绍，2018年全年，北京银保监局的多项检查中，广泛覆盖乱象整治和房地产、银子银行、交叉金融、同业资管、非法集资等多个重点领域。</p><p>从监管处罚情况来看，蒋平披露一组数据显示，针对监管检查等发现的违法违规情形，共处罚银行机构25家，罚款1625万元;处罚保险机构30家，警告16家，罚款372万元。对10家银行机构采取暂停业务、暂停准入等限制性监管措施19项。</p><p>“监管严格落实‘双罚’原则”，蒋平表示，2018年，北京银保监会共处罚责任人39人，警告31人，罚款120万元，责令机构对101名责任人给予内部问责。加强对高管人员和法人机构总部的“顶层问责”，及时公开处罚信息，加大震慑力度，有力祛除行业乱象顽疾。</p><p>“经过一年的专项整治，北京银行业资产结构持续优化”，蒋平介绍，2018年，银行业同业资产、委托贷款和事物管理类信托规模分别比年初下降7.45%、12.19%和11.49%，表外业务增速同比下降20.93个百分点，去通道效应明显，将金融资源切实导向直接支持和服务实体经济发展的各个领域。</p><p>同时，据了解，北京银保监局采取有效措施防范化解信用风险、流动性风险和案件风险等，牢牢守住不发生区域性风险底线，为实体经济发展维护良好稳定的金融市场秩序。</p><p>对于2019年，蒋平表示，2019年是北京银保监局挂牌成立后的第一个完整监管年度，北京银保监局也将坚持稳中求进的工作基调，以服务供给侧结构性改革委主线，围绕“去杠杆、治乱象、回本源、强服务、防风险、促开放”的监管路线图，重点抓好“公司治理、风险治理、业务治理、数据治理、规则治理”五大治理，把防范区域性风险与服务实体经济更紧密结合起来。(蓝鲸保险)</p>	1
3168951	光启技术股东达孜鹏欣质押1762万股 去年营收同比增长22%	<p>挖贝网5月6日消息，光启技术(002625,诊股)今日发布公告，公司股东达孜县鹏欣环球资源投资有限公司向北京银行(601169,诊股)股份有限公司上海分行质押1762万股，用于融资。</p><p>公告显示，光启技术本次质押股数1762万股，占其所持股份比例为9.85%，质押日期自2019年4月29日至解除质押之日，质权人为北京银行股份有限公司上海分行。</p><p>截至公告披露日，达孜鹏欣持有公司股份178,821,878股，占公司总股本的8.30%；本次质押股份17,620,667股，占公司总股本的0.82%；其所持有本公司股份累计被质押178,820,531股，占公司总股本的8.30%。</p><p>公司披露2018年度报告显示，2018年营业收入为4.64亿元，较上年同期增长22.14%；归属于上市公司股东的净利润7053万元，较上年同期减少12.77%。</p><p>挖贝网资料显示，光启技术主要业务为尖端装备超材料方案提供和产品生产；超材料智能结构及装备产业化项目的实施、研制；各类汽车座椅功能件、安全件及其关键零部件的研发、生产和销售。</p><p>来源链接：http://www.cninfo.com.cn/new/disclosure/detail？plate=&orgId=9900021556&stockCode=002625&announcementId=1206206294&announcementTime=2019-05-06</p>	1
2957381	城商行金融科技“进度条”差异大：北京银行、江苏银行运用技术类别最丰富	<p>■本报记者 毛宇舟</p><p>近日，中国银行业协会城商行工作委员会发布了《城市商业银行发展报告（2018）》（下简称《报告》），披露了多家城商行的金融科技发展情况，数据显示，2017年在调研的117家城商行中，运用了金融科技手段的银行只有60家，占比仍较低。</p><p><strong>对金融科技发展反应迟钝</strong></p><p>《报告》认为，目前城商行的金融科技运用模式主要有自主研发、合作共享、设立金融科技公司三种。</p><p>在自主研发的模式下，城商行几乎不借助外部公司力量，独自完成金融科技建设工作，虽然这种模式可以防止出现业务发展受制于人的难题，有利于形成银行的核心竞争力。但是由于城商行对金融科技发展反应较为迟钝，往往在技术发展成熟后才追赶，同时该模式研发周期长，产品迭代慢，难以适应城商行的需求，从整体上来看，自主研发模式步履维艰。</p><p>合作共享模式则是目前城商行金融科技发展的主旋律。银行业协会认为，该模式推动了科技资源的聚合使用，实现了运营成本的降低以及创新风险的分散。</p><p>据《证券日报》记者了解，目前以共赢合作理念成立的金融科技联盟有多个，例如山东省城市商业银行合作联盟、中小银行互联网金融（深圳）联盟等，而目前山东省城市商业银行联盟是国内唯一持有金融牌照的银行系金融科技服务公司，该平台已经覆盖城商行业务运营需求的70%以上。</p><p>《报告》指出，在开放共享的信息时代，金融科技体系呈现出主体多元、业态多样、关联度高的生态系统特征，封闭的经营发展思路难以适应时代要求，而金融科技技术投入巨大，多数城商行独木难支，因此城商行需要通过运用金融科技的多样发展模式，实现优势互补和系统发展效应。</p><p><strong>科技金融发展差异化明显</strong></p><p>根据银行业协会数据显示，截至2017年年底，在117家城商行数据统计中，只有2家运用了包括大数据、人工智能、云计算、生物识别、区块链在内的五大金融科技技术，两家银行分别为北京银行和江苏银行。</p><p>微众银行（民营银行，按照城商行管理）、浙江稠州银行、泰隆银行和上海银行运用了四种金融科技技术；昆仑银行、大连银行、营口银行和甘肃银行运用了三种金融科技技术；贵阳银行、徽商银行等29家银行运用了两种科技金融技术；还有20家银行使用了一种金融科技技术，剩余近半数银行在金融科技技术的运用上仍为空白。</p><p>根据《证券日报》记者统计，在使用金融科技技术较多的城商行主要集中于一线城市和东部地区，而中西部地区银行运用金融科技技术的数量明显较低。</p><p><strong>加快金融科技领域步伐</strong></p><p>虽然城商行金融科技的起步阶段落后于股份制发展银行，但在2018年，各家银行追赶的步伐明显变快。</p><p>2018年年初，杭州银行联合阿里云、杭州城市大数据运营公司成立国内首家城商行金融科技创新实验室，基于金融云、区块链、大数据、人工智能、生物识别及其他新技术应用分享和实践，以深入研究金融科技创新能力，探索新技术在银行业的应用。</p><p>辽宁省银行业协会、辽宁城商行联席会则促成了辽宁省15家城商行与42家入围供应商签订长期友好合作关系，推进辽宁省城商行金融科技发展，构建辽宁省金融科技创新新生态。</p><p>《报告》指出，城商行应明确金融科技发展方向以及掌握好核心竞争力，让渡部分利益，采取更为灵活的方式与外部合作，充分利用外部企业的优质资源，创造具有自主知识产权和核心竞争力的金融产品，在细分领域上打造出具有一定知名度和美誉度的金融科技。</p>	1
3196508	*ST康得：现金管理协议无效 要求恢复子账户独立性	<p><img class="ke_img" src="https://pifm.eastmoney.com/EM_Finance2014PictureInterface/Index.aspx?id=0024502&imageType=k&token=28dfeb41d35cc81d84b4664d7c23c49f&at=1" alt="empty"/></p><p>5月15日，*ST康得晚间公告，针对控股股东康得集团与北京银行签订的《现金管理业务合作协议》，5月14日公司向北京银行西单支行下发《商务函》，指出协议因违反法律而自始无效，要求恢复相应子账户的独立性，并保留采取进一步法律行动维护相关公司利益的权利。公司管理层已将西单支行的违规行为向监管部门进行投诉。</p><p><img class="ke_img" src="http://xqimg.imedao.com/16abc590e00430e3fdfa020f.jpg" alt="empty"/></p>	1
